ID,latitude,longitude,Date,farm type,Pop,Infection
"427",14.911670000000001,101.446439999999996,01-01-2017,dairy,"31","0"
"452",14.878690000000001,101.437460000000002,02-01-2017,dairy,"30","0"
"90",14.923069999999999,101.443299999999994,02-01-2017,dairy,"50","0"
"40",14.915010000000001,101.445419999999999,02-01-2017,dairy,"8","0"
"42",14.910930000000000,101.445989999999995,02-01-2017,dairy,"20","0"
"11",14.910720000000000,101.446449999999999,02-01-2017,dairy,"20","0"
"473",14.894679999999999,101.448130000000006,02-01-2017,dairy,"44","0"
"65",14.890440000000000,101.430920000000000,03-01-2017,dairy,"40","0"
"206",14.889670000000001,101.434290000000004,03-01-2017,dairy,"29","0"
"293",14.922409999999999,101.441170000000000,03-01-2017,dairy,"28","0"
"20",14.916320000000001,101.444260000000000,03-01-2017,dairy,"9","0"
"110",14.892540000000000,101.449240000000003,03-01-2017,dairy,"4","0"
"212",14.869490000000001,101.450580000000002,03-01-2017,dairy,"45","0"
"234",14.913710000000000,101.402619999999999,04-01-2017,dairy,"60","0"
"321",14.895640000000000,101.446359999999999,04-01-2017,dairy,"36","0"
"181",14.877580000000000,101.437479999999994,05-01-2017,dairy,"60","0"
"136",14.915390000000000,101.438649999999996,05-01-2017,dairy,"13","0"
"326",14.913240000000000,101.444739999999996,05-01-2017,dairy,"17","0"
"497",14.911350000000001,101.446290000000005,05-01-2017,dairy,"82","0"
"368",14.869560000000000,101.449119999999994,05-01-2017,dairy,"80","0"
"398",14.877190000000001,101.438630000000003,07-01-2017,dairy,"21","0"
"413",14.882740000000000,101.442899999999995,07-01-2017,dairy,"22","0"
"387",14.892799999999999,101.445319999999995,07-01-2017,dairy,"4","0"
"426",14.891260000000001,101.419839999999994,08-01-2017,dairy,"30","0"
"401",14.899550000000000,101.430189999999996,08-01-2017,dairy,"35","0"
"105",14.880850000000001,101.438959999999994,08-01-2017,dairy,"17","0"
"353",14.881510000000000,101.445480000000003,08-01-2017,dairy,"30","0"
"316",14.913240000000000,101.446359999999999,08-01-2017,dairy,"34","0"
"440",14.911690000000000,101.446410000000000,08-01-2017,dairy,"40","0"
"75",14.869520000000000,101.448880000000003,08-01-2017,dairy,"60","0"
"188",14.907000000000000,101.412469999999999,09-01-2017,dairy,"13","0"
"418",14.948499999999999,101.382570000000001,10-01-2017,dairy,"12","0"
"491",14.917280000000000,101.433030000000002,10-01-2017,dairy,"120","0"
"310",14.892220000000000,101.440190000000001,10-01-2017,dairy,"30","1"
"184",14.881710000000000,101.445409999999995,10-01-2017,dairy,"35","0"
"5",14.890870000000000,101.440100000000001,11-01-2017,dairy,"20","1"
"203",14.912490000000000,101.402559999999994,15-01-2017,dairy,"16","0"
"171",14.856270000000000,101.412220000000005,15-01-2017,dairy,"10","0"
"9",14.851139999999999,101.416709999999995,15-01-2017,dairy,"60","0"
"461",14.853050000000000,101.417259999999999,15-01-2017,dairy,"100","0"
"166",14.865900000000000,101.419920000000005,15-01-2017,dairy,"23","0"
"143",14.859540000000001,101.420190000000005,15-01-2017,dairy,"120","0"
"393",14.865520000000000,101.420289999999994,15-01-2017,dairy,"19","0"
"141",14.862539999999999,101.422039999999996,15-01-2017,dairy,"34","0"
"113",14.867760000000001,101.425569999999993,15-01-2017,dairy,"8","0"
"172",14.907600000000000,101.426169999999999,15-01-2017,dairy,"14","0"
"138",14.871280000000000,101.429620000000000,15-01-2017,dairy,"35","0"
"140",14.871280000000000,101.429649999999995,15-01-2017,dairy,"30","0"
"346",14.874300000000000,101.432779999999994,15-01-2017,dairy,"30","0"
"45",14.868390000000000,101.432890000000000,15-01-2017,dairy,"18","0"
"70",14.860950000000001,101.432959999999994,15-01-2017,dairy,"125","0"
"276",14.872439999999999,101.433310000000006,15-01-2017,dairy,"20","0"
"420",14.874290000000000,101.433769999999996,15-01-2017,dairy,"9","0"
"152",14.867570000000001,101.435379999999995,15-01-2017,dairy,"60","0"
"179",14.879700000000000,101.438779999999994,15-01-2017,dairy,"80","0"
"121",14.867419999999999,101.417450000000002,16-01-2017,dairy,"42","0"
"81",14.861409999999999,101.451340000000002,16-01-2017,dairy,"80","0"
"446",14.907950000000000,101.413219999999995,18-01-2017,dairy,"40","0"
"82",14.859790000000000,101.432490000000001,18-01-2017,dairy,"33","0"
"4",14.874120000000000,101.422629999999998,20-01-2017,dairy,"57","0"
"116",14.883609999999999,101.426659999999998,20-01-2017,dairy,"26","0"
"104",14.896380000000001,101.425479999999993,25-01-2017,dairy,"70","0"
"205",14.856299999999999,101.430610000000001,25-01-2017,dairy,"32","0"
"399",14.891959999999999,101.435990000000004,28-01-2017,dairy,"23","0"
"395",14.892010000000001,101.435479999999998,30-01-2017,dairy,"100","0"
"466",14.863510000000000,101.451189999999997,31-01-2017,dairy,"41","0"
"478",14.862270000000001,101.418120000000002,01-02-2017,dairy,"50","0"
"373",14.946120000000001,101.378510000000006,02-02-2017,dairy,"30","0"
"168",14.896649999999999,101.418220000000005,02-02-2017,dairy,"85","0"
"133",14.959080000000000,101.429310000000001,02-02-2017,dairy,"35","0"
"314",14.857799999999999,101.439049999999995,02-02-2017,dairy,"28","0"
"291",14.899950000000000,101.425349999999995,03-02-2017,dairy,"25","0"
"246",14.890060000000000,101.432109999999994,03-02-2017,dairy,"46","0"
"417",14.896459999999999,101.434070000000006,03-02-2017,dairy,"120","0"
"428",14.890990000000000,101.434430000000006,03-02-2017,dairy,"80","0"
"391",14.882860000000001,101.432890000000000,05-02-2017,dairy,"50","0"
"96",14.918530000000001,101.409409999999994,07-02-2017,dairy,"35","0"
"287",14.895020000000001,101.422210000000007,07-02-2017,dairy,"43","0"
"114",14.895600000000000,101.423000000000002,07-02-2017,dairy,"7","0"
"377",14.926890000000000,101.433269999999993,07-02-2017,dairy,"12","0"
"247",14.912340000000000,101.443749999999994,07-02-2017,dairy,"13","0"
"158",14.952920000000001,101.426630000000003,08-02-2017,dairy,"20","0"
"62",14.891930000000000,101.435890000000001,08-02-2017,dairy,"21","0"
"281",14.872600000000000,101.422539999999998,10-02-2017,dairy,"33","0"
"334",14.915979999999999,101.433670000000006,10-02-2017,dairy,"85","0"
"385",14.932900000000000,101.433909999999997,10-02-2017,dairy,"50","0"
"157",14.858499999999999,101.435779999999994,10-02-2017,dairy,"100","0"
"135",14.879060000000001,101.442880000000002,10-02-2017,dairy,"40","0"
"304",14.896699999999999,101.418120000000002,12-02-2017,dairy,"58","0"
"266",14.896670000000000,101.418220000000005,12-02-2017,dairy,"30","0"
"51",14.947800000000001,101.423479999999998,12-02-2017,dairy,"40","0"
"337",14.915800000000001,101.433999999999997,12-02-2017,dairy,"25","0"
"260",14.896420000000001,101.425650000000005,13-02-2017,dairy,"40","0"
"295",14.918939999999999,101.401579999999996,14-02-2017,dairy,"27","0"
"160",14.894250000000000,101.418809999999993,15-02-2017,dairy,"130","0"
"345",14.893200000000000,101.418949999999995,15-02-2017,dairy,"70","0"
"73",14.866580000000001,101.419579999999996,15-02-2017,dairy,"59","0"
"259",14.866059999999999,101.419920000000005,15-02-2017,dairy,"8","0"
"390",14.870030000000000,101.422839999999994,15-02-2017,dairy,"25","0"
"57",14.861170000000000,101.426659999999998,15-02-2017,dairy,"80","0"
"190",14.890990000000000,101.427970000000002,15-02-2017,dairy,"12","0"
"325",14.875170000000001,101.434880000000007,15-02-2017,dairy,"45","0"
"389",14.875109999999999,101.437230000000000,15-02-2017,dairy,"40","0"
"69",14.874000000000001,101.437349999999995,15-02-2017,dairy,"33","0"
"486",14.898009999999999,101.437500000000000,15-02-2017,dairy,"13","0"
"300",14.873400000000000,101.437920000000005,15-02-2017,dairy,"25","0"
"123",14.869030000000000,101.440960000000004,15-02-2017,dairy,"11","0"
"431",14.875920000000001,101.441689999999994,15-02-2017,dairy,"98","0"
"394",14.878800000000000,101.443640000000002,15-02-2017,dairy,"30","0"
"460",14.864649999999999,101.448530000000005,15-02-2017,dairy,"70","0"
"403",14.934040000000000,101.433570000000003,16-02-2017,dairy,"20","0"
